subject_ids,file_name,annotation_text,special_ratio,majority_vote
10931564,gri_2003_m_46_b01_f02_015.jpg,"and also the woods. Please remember me to them. Have
you done any architecture essays yet and have you
reached a decision about Toynbee next term? I
shall understand if you refuse to continue but I shall
love it if you do them. I shall love you whatever
your decision. By the way: lectures - discussion -
Fragonard. The picture of Fragonard I challenged 
you about is really cooler than I remembered...
Forgive me.
You might be interested in a few prices. This room
costs 130: just near the Pantheon. We eat at the
Cité Club (50+ each meal) and at a restaurant
on the left bank at the same price. Bath available
only to students so be sure you and Michael get
suitable papers. And as much English food as you can
carry. Eggs are plentiful at 18 - 20 f each. There
is no milk of course. Tell Michael that Jolas'
magazine Transition has started up again with an
existential bias. Metro tickets are up a little, 50
instead of 40 a packet. Paris is nice at present.
Buds are coming out, much sunshine. It's probably 
nicer at Pett I can't help thinking.



",1,FALSE
10931567,gri_2003_m_46_b01_f02_019.jpg,"Hôtel de l'Avenir
Rue Gay Lussac
Paris V.

Friday

dearest Sylvia
I'm still not sure how long we will be at the address 
above so will you use the cook's Address - 2 Place de 
la [unclear]madelaine.[/unclear]

The weather is superb here. We sat in the Luxembourg gardens for a time, only in shirt sleeves, and, 
last evening had a look at the Hotel Cluny as you recommended. It's really admirable: gothic craftsmanship 
in the windows (dormers especially) and renaissance forms
also. The place has grandeur and mystery and I kept thinking of [unclear]Rilke's[/unclear] half sensuous, half platonic meditations in 
there when he was Rodin's secretary. It is not open to
the public yet but I am going to try for permission to
see it.

I have got a French Vogue which I am sending off to-
morrow. I hope you will get some ideas for it though I might
as well admit that I keep thinking of you nude. I adore
you.

Politically I am isolated as ever and on every boarding 
rows of unintelligible initials jump like letters in a cubist
still life - a still life gone very wrong. Each party has
numerous initials. I have learnt a little about existentialism from a student who is going to introduce me to a 
poet who can help me further in this matter.

I have been four times to the Trésors des Musées de Vienne",1,FALSE
10931572,gri_2003_m_46_b01_f02_025.jpg,"Hôtel de l'Avenue
52 Rue Gay Lussac
Paris V
Saturday
My dearest Sylvia
Thank you so much for all your letters - all of which have now
come, much to my relief - and Albert's , too, incidentally, - as I kept
worrying about the delay.
I shall be back on Wednesday.  I am excited already at the prospect of seeing you after such a long while.  I think that on Friday it
would be best for you to make arrangements for sleeping with your friends
because there seems to be a slight antagonism between Albert and Evelyn
which I don't want to divert to myself.  I must see her when I return and
would prefer not to arrange it my letter until [unclear]then[/unclear] in case I jeopardise (oh, hell, I don't know how to spell it) our future chances which
will be good, I think.  Since you reminded me that it wouldn't be any 
good anyway on the 16th I felt this was the decision to make.
Today started in a café on the Champs Elysées with vermouth and
ham sandwiches, and macaroons.  We had been to the Follies Bergere, oh
what a bore! Home, we had to walk, by two o'clock. Up again at ten. In
the afternoon I went to look at the Picassos, Malloils, Légere, Braques,
Brancusi, &c.  Then I got some books, including Edith Sitwell's English
Eccentrics which looks enchanting, fabulous, witty.
I wrote this poem this morning at about 2.30.  I doubt its com-
plete yet but as it's about you this letter is the place for it.
The centreless dreams of people
Weighing a thousand beds with their flesh
Staining as many pillows with
The blood their phantasy ensures
Are not the dreams sent [unclear]line[/unclear] me
which radiate from Sylvia
Like Minerva's statue in an academy
On [unclear]flowers[/unclear] of Dais from a woman's head [unclear]combed[/unclear]

I'll try and give you the information Michael needs at the weekend
though I warn you that I have lived very much across the normal
pattern of life.  Half-student, half-poet.

Tonight we're having a meal in the room with an American student,
a Californian, named Stuart, we have American tinned meats and
chocolate, and fresh vegetables.  I expect we'll go to the cinema later.
I think of you. I love you. as it's less than a week to next Friday
Smells of cooking increase.
I'm delighted you're painting again.
I adore you
Lawrence
 ",1,FALSE
10931578,gri_2003_m_46_b01_f03_011.jpg,"I think that there is little chance of
my finding money for a hotel room.
But would you come to London on
the 6th? We could ( I say this rather
disconsolately [?] visit the [unclear]Albertina[/unclear]
Collection. I do have a pound, so
if you will come just for the day
I'll send it to you for your fare.
Please come, unsatisfactory as it
will be. Do let me know by 1st
post Monday so I can send you the
fare in time.
You see, occasionally, my pragmatic attitude to Time and Money doesn't
work. I can't help it. Forgive me.
Only one more essay remains to 
be written for C-T. I have 'got'
the Batsford book 'The Age of Adam'.
It's enchanting.
After I had written my Versailles
paper at the V and A this morning I 
glanced at a book in one of the cases -
Berthe Morisot - 16 watercolours with
Mallarmé's introduction. Your apple
blossom has the same kind of free,
almost careless, sensitivity.
Perhaps in June I can write about
your paintings, Sylvia.
Lawrence",1,FALSE
10931620,gri_2003_m_46_b01_f05_026.jpg,"Thomas Carew:
6 Ask me no name where some bestows,
When June is past that fading rose:
[unclear]For[/unclear] in your beauties, orient deep,
These flowers, as in their causes, sleep.

7 Read in these roses the sad story
Of my hard fate & your own glory:
In the white you may discover
The paleness of a fainting lover;
In the red, the flames still feeding
On my heart with fresh wounds bleeding. .

Daniel, an Elizabethan at last; I can imagine
my Minerva saying 'high time, too,'
8 Wake Oelia how we [unclear]steeme[/unclear] the half-blowne Rose
The image of thyl blush and summers honor.

Spenser: 
9 Sweet the Rose, but growes upon a [unclear]biere[/unclear].

Griffin, another Elizabethan:
10 See where my love sits in the beds of spices!
Beset all round with camphor, myrrh, & roses,

Constable, also Tudor:
11 My lady's presence make the Roses red,
Because to see her lips they blush for shame.

Here is a complete poem after so many shards 
but it is very short and by Mallarme

12 Verre d'Eau
Ta lèvre contre le cristal
Gorgée a gorgée y compose
Le souvenir pourpre et nital
De la moins éphémèra Rose.

I love you, Sylvia,
Lawrence

",1,FALSE
10931671,gri_2003_m_46_b01_f06_043.jpg,"[20-7-48]
Tuesday                                                11 Mansel Road

Dearest Sylvia

      I am sure you will have a magnificent time abroad so all that remains for me to do is add my best wishes. To Michael and yourself.
      All I can do about the coffee is suggest you try Hôtel de L'Avenir, Rue Gay Lussac and see if Albert is back there.  I could take you to the Black Market Cafe but have not its",1,FALSE
10931673,gri_2003_m_46_b01_f06_047.jpg,"Tuesday                           II Mansel Road
                                           Wimbledon
My Dearest Sylvia,
I am not sure whether to pester you with questions about your
travels or [unclear]retail[/unclear] my own uneventful days.  I expect you will tell me
the things that you are enjoying particularly anyway, but do be sure
to tell me what you thought of the Giorgione Fête champetre and other 
Venetian pictures in the Louvre.  And don't forget to tell me what you
think of the Monets in the Impressionist Museum: I admire many of them.
In the last few days I have done a lot of reading and
seen Paul several times.  Last night we had one penny between us.
It rained all Saturday but today it is warmer than it has been for
weeks.  A good [unclear]ways hope[/unclear].  Pablo often has tea with me these days.  I have strawberry
jam and China tea & Pablo has his milk with the China tea.  It
is a consolation to have him with me - his feline manners are charm-
ing - now more than ever.
I am sitting in the lounge by the open French windows 
to write this.  I have by me a pleasant box of chocolates which I nibble
every so often - the gift of ""an elderly lady of my acquaintance"" to
celebrate passing the exam.
I have written the first of my poems for you while you are away.
I have made them as southern in decor as it is legitimate for me, caged on 
this island, to do so.

Place de la Terre
Utrillo - dazzling squares
[unclear][/unclear] skies you wouldn't call
Temperate balancing
Blue spheres upon the hills

A sleepy satyr puffs


",1,FALSE
10931685,gri_2003_m_46_b01_f07_002.jpg,"Monday. August the Second

Dearest Sylvia,

Thank you so much for your letter. You really should not apologize for it because you evoked very vividly the places you had seen, especially the landscapes. And, of course, the Pitti interiors which sound ravishing. I suppose the Adam-like decoration comes from the Raphaelesque Grotesque based on Roman work? And, oh, Pietro da Cortona ceilings... Well, you can imagine how I feel about them! Are they not too hot in color: I expect color is the weakest point. How I look forward to seeing them one day...

The landscapes you write of put me in mind of the best Corots. I am glad you stressed that part of Italy in your letter because it suggested to me some lines in a poem I was writing.  I had been stuck. Then your letter came and the obstruction was removed. (The poems are at the end of the letter.) You seem to be enjoying sculpture very much: it is almost impossible to see anything in England of course. Now that you have seen the two early Giorginne's I would be interested to have your opinion of the Hampton Court one. Is it alright do you think still?

San Miniato sounds a delight. The familiar words with, alas, only literary associations ring in my mind.  ...Arno... Rosselino... Baldovinetti... all assembling a picture of fabulous pleasures to me and of actual experience to you. The facade is ravishing from what you say. 

Thank you for the address which take me up to the 14th. You should have found two letters at Siena: did you? And three at Florence. I make the point because you imply a criticism of my writing. Perhaps I imagine it. No, re-reading I think it is there. How was the Palazzo at Siena; as grand as it sounds? Is food and accomodation very expensive. Albert and John, by the way, are in Italy by now - concentrating, I think, on Venice. 

I have had no news (despite promises) of the room at East Sheen so I suppose I shall have to start looking elsewhere soon. I met John Skipp the other day. I do not like him very much but we talked all afternoon and that is a good sign. There is a good chance, now, of occasional work with travelling exhibitions:  £10 a week, with extra for expenses and other matters. An admirable rate is it not. ",1,FALSE
10931693,gri_2003_m_46_b01_f07_016.jpg,"[12-8-48]

WEDNESDAY
11 MANSEL ROAD
WIMBLEDON SW19

Dearest Sylvia,

I love you.  Why do I start like that?  Simply because I do not think I have started a letter like that before.  One tends to end with those words.  They make a fine conclusion but they make the best opening too.

How often you occur to my imagination.  I stand a little back, as it were, so that I can see you full-length against the Italian scene - or the vague dazzling thing which stands for that landscape.  I thought of you yesterday at my lecture: I mentioned Vermeer's interest in emblems and though I kept on talking I remembered most distinctly our trip to Greenwich, and I then thought of you and where you might be THEN, at about a quarter past eleven.  Your new dress is almost known to me by now.

About 70 people came to the lecture.  I put in De Hooch as well as the others because I had time to kill at the end.  I think it went alright and I no longer wish for the lights to go out and the first slide to come on the screen.  Claire was there and she said I ought to speak up more in this big room. vii.

I have been twice to the Grand Ballet de Monte Carlo and seen Balanchine's Concerto Barocco, Lifar's Noir at Blanc, and Five Gifts which has decor and costumes by Leonor Fini whom I like as you know.  She made quite a successful design for the piece.  Later in the season they are doing Les Biches (Laurencin décor) and a ballet by Dali and Paul Bowles.  They are a fairly good company: Eglevsky is with them now and they have a fine ballerina in Rosalla Hightower.  It was good to see ballet again after so long.

I had a welcome surprise from the bank today.  I actually have over nine pounds in my account.  How much pleasanter this news than the overcharging in Michael's last statement.

My visit to Bath will start on the 18th and be either a long weekend or a week.  The 18th of September I mean.

Has your Italian come back to you or did you rely on French when you were at school?  And I would be interested to hear if Micheal's yellow text book proved useful?",1,FALSE
10931814,gri_2003_m_46_b01_f10_041.jpg,"19th November 1948

Dearest Sylvia,

This must be a hasty note, because I must be off in a few minutes to have tea with Charles and talk about my school lectures.  Perhaps I shall stun him, leave him in the Gentlemen's at the Vega and take his place for the weekend,  I know most of his clichés so the deception might work.

I hope, dearest, that your cold is getting better.  I am quite concerned.  Look after yourself, dearest.  Did you catch it painting that ravishing view of the golden woods?  If so I am sure it was worth it.

You remember the Cupids and so on over the mantlepieces at Hampton Court? Well I have adapted them into T. Stothard-like vignettes for you.

A pink-bottomed putto
Flying upside down
Offers for your favour 
A mousse of poetry.

2
Putti support a palette
Heavy with vivid dyes
And naked connoisseurs on clouds
Extoll your likenesses.

3
Putti in the kitchen
Up-end a cornucopia
Of oranges and pears
Or pork and camembert.

4
Three plump putti flutter
Around my naked love
Guiding me to please her
With lanterns, ribbands, bells.

I wish I had more time but I have done the St Bartholomew Hogarth's this morning and must now fly.

Sylvia, I love you,  I am your delighted captive.

I love you

Lawrence

",1,FALSE
